"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2023-09-03","82.3","0.6","6.37","Ohtani, Shohei",660271,660906,"strikeout","swinging_strike_blocked",,,,,14,"Shohei Ohtani strikes out swinging.","R","L","L","OAK","LAA","S",2,,1,2,2023,"-0.05","-0.39","0.5","0.6",,,,1,7,"Top",,,,,669127,,,-0.11129952857441555,-119.77759869874814,-5.788801764729524,-0.4894437574571824,22.996147994464682,-34.99074983516152,"3.48","1.61",,,,"81.8",2472,"6",716731,660906,669127,676116,680869,649557,669397,664913,665923,667670,"54.54",,,"0",1,0,0,,56,5,"Slider",4,4,4,4,4,4,4,4,,"Standard",316,"0.028","-0.119"
"FF","2023-09-03","92.8","0.67","6.29","Ohtani, Shohei",660271,660906,,"foul",,,,,12,"Shohei Ohtani strikes out swinging.","R","L","L","OAK","LAA","S",,,1,2,2023,"0.73","1.25","1.14","3.86",,,,1,7,"Top",,,,,669127,,,-0.38375449904974285,-135.1364570118069,-3.135350677063752,8.988453675908353,29.29305622386591,-16.434254079655556,"3.48","1.61",126,"57.4",62,"92.1",1962,"5.8",716731,660906,669127,676116,680869,649557,669397,664913,665923,667670,"54.71",,,,,,,,56,4,"4-Seam Fastball",4,4,4,4,4,4,4,4,,"Standard",144,"0","0"
"SL","2023-09-03","81.8","0.6","6.37","Ohtani, Shohei",660271,660906,,"foul",,,,,9,"Shohei Ohtani strikes out swinging.","R","L","L","OAK","LAA","S",,,1,1,2023,"-0.16","-0.1","0.56","2.08",,,,1,7,"Top",,,,,669127,,,0.23023791652539777,-119.1531053327802,-2.9287252520112244,-1.5895205782586652,21.944492088732204,-32.8137243709015,"3.48","1.61",49,"90.4",1,"81.3",2631,"5.8",716731,660906,669127,676116,680869,649557,669397,664913,665923,667670,"54.68",,,,,,,,56,3,"Slider",4,4,4,4,4,4,4,4,,"Strategic",303,"0","-0.043"
"SL","2023-09-03","81.3","0.65","6.33","Ohtani, Shohei",660271,660906,,"ball",,,,,13,"Shohei Ohtani strikes out swinging.","R","L","L","OAK","LAA","B",,,0,1,2023,"-0.28","0.11","-0.19","-0.05",,,,1,7,"Top",,,,,669127,,,-1.3239564806173354,-118.29944181695764,-7.825796423232474,-2.373390907842593,22.52427187387351,-29.909469499340556,"3.56","1.56",,,,"80.6",2442,"5.8",716731,660906,669127,676116,680869,649557,669397,664913,665923,667670,"54.67",,,,,,,,56,2,"Slider",4,4,4,4,4,4,4,4,,"Strategic",300,"0","0.019"
"SI","2023-09-03","90.6","0.86","6.14","Ohtani, Shohei",660271,660906,,"foul",,,,,12,"Shohei Ohtani strikes out swinging.","R","L","L","OAK","LAA","S",,,0,0,2023,"1.25","0.88","1.4","2.56",,,,1,7,"Top",,,,,669127,,,-1.325530582261852,-131.87869875942192,-4.806023527388739,14.771409473062018,30.8836037181577,-21.130765021805672,"3.48","1.61",5,"95.6",-26,"90",1781,"6.1",716731,660906,669127,676116,680869,649557,669397,664913,665923,667670,"54.37",,,,,,,,56,1,"Sinker",4,4,4,4,4,4,4,4,,"Strategic",139,"0","-0.026"
"CH","2023-09-02","86.1","-2.19","5.98","Ohtani, Shohei",660271,621112,"field_out","hit_into_play",,,,,8,"Shohei Ohtani grounds out, shortstop Nick Allen to first baseman Ryan Noda.","R","L","R","OAK","LAA","X",6,"ground_ball",2,1,2023,"-1.15","0.28","-0.13","2.07",,,,0,3,"Top",115.66,140.91,,,691016,,,7.2187567967205535,-125.24649418958803,-3.631977218682141,-13.588249734852202,24.838564187644693,-28.656031267847723,"3.46","1.6",5,"75.6",-24,"86.1",1823,"6.2",716755,621112,691016,676116,680869,672478,669397,643393,671732,664913,"54.26",0.037,0.033,"0",1,0,0,2,18,4,"Changeup",0,1,1,0,1,0,1,0,,"Standard",214,"0.021","-0.281"
"FC","2023-09-02","88.3","-2.2","5.92","Ohtani, Shohei",660271,621112,,"swinging_strike",,,,,12,"Shohei Ohtani grounds out, shortstop Nick Allen to first baseman Ryan Noda.","R","L","R","OAK","LAA","S",,,2,0,2023,"0.33","0.57","0.26","3.6",,,,0,3,"Top",,,,,691016,,,5.269129128094171,-128.5172094107044,-0.7612630409422083,2.591235151573756,26.836255966322888,-25.935465878597906,"3.46","1.6",,,,"88.2",2288,"6.2",716755,621112,691016,676116,680869,672478,669397,643393,671732,664913,"54.29",,,,,,,,18,3,"Cutter",0,1,1,0,1,0,1,0,,"Standard",171,"0","-0.058"
"SI","2023-09-02","91.4","-2.14","5.93","Ohtani, Shohei",660271,621112,,"ball",,,,,11,"Shohei Ohtani grounds out, shortstop Nick Allen to first baseman Ryan Noda.","R","L","R","OAK","LAA","B",,,1,0,2023,"-1.15","0.8","-0.43","3.7",,,,0,3,"Top",,,,,691016,,,6.781926589111993,-133.01152001856872,-1.4790349061339927,-15.143571179206933,27.830320268549727,-22.5039832674466,"3.54","1.7",,,,"91.3",1870,"6.2",716755,621112,691016,676116,680869,672478,669397,643393,671732,664913,"54.34",,,,,,,,18,2,"Sinker",0,1,1,0,1,0,1,0,,"Standard",209,"0","0.064"
"FC","2023-09-02","89.5","-2.12","5.9","Ohtani, Shohei",660271,621112,,"ball",,,,,14,"Shohei Ohtani grounds out, shortstop Nick Allen to first baseman Ryan Noda.","R","L","R","OAK","LAA","B",,,0,0,2023,"0.34","0.71","1.11","1.15",,,,0,3,"Top",,,,,691016,,,7.252620960926914,-129.92653948958701,-7.154793907250221,2.1684324089482403,28.918523138940536,-22.74779383036623,"3.45","1.54",,,,"89.2",2390,"6.4",716755,621112,691016,676116,680869,672478,669397,643393,671732,664913,"54.14",,,,,,,,18,1,"Cutter",0,1,1,0,1,0,1,0,,"Standard",187,"0","0.036"
"SI","2023-09-02","93.3","-1.95","5.96","Ohtani, Shohei",660271,621112,"walk","ball",,,,,14,"Shohei Ohtani walks.   Nolan Schanuel to 2nd.","R","L","R","OAK","LAA","B",,,3,2,2023,"-0.83","0.56","1.15","2.55",,,694384,0,1,"Top",,,,,691016,,,9.78675984921549,-135.6100320051401,-4.30290689883156,-12.19718536499352,26.94044261118414,-24.458960042053235,"3.46","1.66",,,,"93.7",1750,"6.4",716755,621112,691016,676116,680869,672478,669397,643393,671732,664913,"54.12",,,"0.7",1,0,0,,2,7,"Sinker",0,0,0,0,0,0,0,0,,"Standard",210,"-0.052","0.465"
"SI","2023-09-02","93.3","-2.07","5.87","Ohtani, Shohei",660271,621112,,"ball",,,,,13,"Shohei Ohtani walks.   Nolan Schanuel to 2nd.","R","L","R","OAK","LAA","B",,,2,2,2023,"-1","0.8","-0.53","0.62",,,694384,0,1,"Top",,,,,691016,,,6.148313078232794,-135.4966695019936,-9.491223272228277,-13.62476698910373,28.133687214501393,-20.49156723498203,"3.46","1.59",,,,"93.5",1783,"6.4",716755,621112,691016,676116,680869,672478,669397,643393,671732,664913,"54.11",,,,,,,,2,6,"Sinker",0,0,0,0,0,0,0,0,,"Standard",215,"0","0.132"
"CH","2023-09-02","87.2","-2.15","5.98","Ohtani, Shohei",660271,621112,,"blocked_ball",,,,,13,"Shohei Ohtani walks.   Nolan Schanuel to 2nd.","R","L","R","OAK","LAA","B",,,1,2,2023,"-1.06","0.63","-0.54","0.54",,,694384,0,1,"Top",,,,,691016,,,6.062705600152194,-126.664192676036,-8.235667914982882,-12.656456355420918,24.587208981383444,-23.89715776011643,"3.53","1.63",,,,"87.6",1915,"6.5",716755,621112,691016,676116,680869,672478,669397,643393,671732,664913,"53.99",,,,,,,,2,5,"Changeup",0,0,0,0,0,0,0,0,,"Standard",218,"0","0.067"
"CU","2023-09-02","80.3","-2.16","6","Ohtani, Shohei",660271,621112,,"foul",,,,,8,"Shohei Ohtani walks.   Nolan Schanuel to 2nd.","R","L","R","OAK","LAA","S",,,1,2,2023,"0.63","-1.51","-0.17","1.75",,,694384,0,1,"Top",,,,,691016,,,3.214446314346742,-116.78255222479922,0.24448554613024265,5.015286709317674,24.734642554044534,-46.162529897089115,"3.46","1.6",12,"83.1",-8,"79.8",2669,"6.3",716755,621112,691016,676116,680869,672478,669397,643393,671732,664913,"54.25",,,,,,,,2,4,"Curveball",0,0,0,0,0,0,0,0,,"Standard",24,"0","0"
