"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2023-09-30","91.4","-3.04","5.44","Judge, Aaron",592450,674444,,"ball",,,,,14,"Aaron Judge strikes out on a foul tip.","R","R","R","KC","NYY","B",,,1,0,2023,"0.12","0.77","1.16","1.06",,,518934,0,1,"Top",,,,,682515,,,10.50334178925215,-132.67638011696576,-6.992989201660905,-0.538844280937841,25.357786079593787,-21.74597106391004,"4.07","2.03",,,,"93.4",2098,"7.4",716375,674444,682515,668472,686681,672580,677951,669004,671221,676369,"53.13",,,,,,,,2,2,"Slider",0,0,0,0,0,0,0,0,"Standard","Standard",186,"0","0.082"
"FF","2023-09-30","96.9","-3.04","5.36","Judge, Aaron",592450,674444,,"ball",,,,,13,"Aaron Judge strikes out on a foul tip.","R","R","R","KC","NYY","B",,,0,0,2023,"-0.92","1.12","-1.03","2.72",,,518934,0,1,"Top",,,,,682515,,,7.6235688186795905,-140.88121543831636,-4.129103742929881,-14.056541925180767,32.213680562487546,-16.507147594147057,"4.06","1.92",,,,"98.7",2263,"7.4",716375,674444,682515,668472,686681,672580,677951,669004,671221,676369,"53.14",,,,,,,,2,1,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",229,"0","0.045"
"CU","2023-09-29","78.8","-2.05","6.03","Judge, Aaron",592450,543475,"double","hit_into_play",,,,,5,"Aaron Judge doubles (16) on a sharp fly ball to left fielder Edward Olivares.","R","R","R","KC","NYY","X",7,"fly_ball",1,1,2023,"0.36","-0.9","-0.23","2.98",,,,0,6,"Top",85.55,42.39,,,682515,,,3.298081508896328,-114.75403456095215,1.8741029561229254,2.57036103547809,21.118415312949644,-40.71484670618515,"3.91","1.81",399,"104.6",28,"79.3",2503,"6.6",716389,543475,682515,521692,622110,672580,677951,658668,664728,676369,"53.93",0.911,1.799,"1.25",1,1,1,6,49,3,"Curveball",10,4,4,10,4,10,4,10,"Strategic","Standard",34,"-0.015","0.644"
"SI","2023-09-29","88.7","-2.21","5.91","Judge, Aaron",592450,543475,,"swinging_strike",,,,,4,"Aaron Judge doubles (16) on a sharp fly ball to left fielder Edward Olivares.","R","R","R","KC","NYY","S",,,1,0,2023,"-0.92","1.09","-0.5","3.1",,,,0,6,"Top",,,,,682515,,,6.1198085413572265,-129.13522758010185,-3.138007016445044,-11.510495874493614,25.477150653967346,-19.528956453623213,"3.91","1.81",,,,"89.1",2211,"6.4",716389,543475,682515,521692,622110,672580,677951,658668,664728,676369,"54.1",,,,,,,,49,2,"Sinker",10,4,4,10,4,10,4,10,"Strategic","Standard",203,"0","-0.046"
"FF","2023-09-29","90.6","-2.06","5.98","Judge, Aaron",592450,543475,,"ball",,,,,14,"Aaron Judge doubles (16) on a sharp fly ball to left fielder Edward Olivares.","R","R","R","KC","NYY","B",,,0,0,2023,"-0.46","1.37","1.3","1.98",,,,0,6,"Top",,,,,682515,,,9.425377796787206,-131.52064519290144,-7.023797778945269,-7.258836960896682,26.51448066818493,-14.93659798565188,"4.08","1.96",,,,"91.2",2225,"6.7",716389,543475,682515,521692,622110,672580,677951,658668,664728,676369,"53.85",,,,,,,,49,1,"4-Seam Fastball",10,4,4,10,4,10,4,10,"Standard","Standard",214,"0","0.036"
"SI","2023-09-29","90.4","-1.99","5.91","Judge, Aaron",592450,543475,"walk","ball",,,,,13,"Aaron Judge walks.","R","R","R","KC","NYY","B",,,3,1,2023,"-1.12","1.06","-0.44","0.63",,,,1,4,"Top",,,,,682515,,,6.294472475151492,-131.23591817184155,-9.570368132558354,-14.204508463103506,25.97167958571245,-18.13552919274774,"4.05","1.93",,,,"91.5",2214,"6.9",716389,543475,682515,521692,622110,672580,677951,658668,664728,676369,"53.57",,,"0.7",1,0,0,,33,5,"Sinker",10,0,0,10,0,10,0,10,"Strategic","Standard",209,"-0.002","0.161"
"FF","2023-09-29","91.7","-1.92","5.9","Judge, Aaron",592450,543475,,"ball",,,,,14,"Aaron Judge walks.","R","R","R","KC","NYY","B",,,2,1,2023,"-0.32","1.37","0.08","1.48",,,,1,4,"Top",,,,,682515,,,5.827004925578366,-133.3173333612755,-8.432970327219007,-5.009994735212452,26.22276835677678,-14.229816412401476,"4.05","1.87",,,,"93.2",2273,"7.1",716389,543475,682515,521692,622110,672580,677951,658668,664728,676369,"53.45",,,,,,,,33,4,"4-Seam Fastball",10,0,0,10,0,10,0,10,"Strategic","Standard",207,"0","0.077"
"FF","2023-09-29","91.8","-1.91","5.95","Judge, Aaron",592450,543475,,"ball",,,,,14,"Aaron Judge walks.","R","R","R","KC","NYY","B",,,1,1,2023,"-0.47","1.49","0.99","1.23",,,,1,4,"Top",,,,,682515,,,8.431716925032326,-133.2945747282807,-9.417155406747195,-7.294723668696243,26.560501069899082,-12.583642950364661,"4.11","1.93",,,,"92.8",2379,"6.9",716389,543475,682515,521692,622110,672580,677951,658668,664728,676369,"53.64",,,,,,,,33,3,"4-Seam Fastball",10,0,0,10,0,10,0,10,"Strategic","Standard",209,"0","0.034"
"ST","2023-09-29","79.9","-2.15","5.83","Judge, Aaron",592450,543475,,"ball",,,,,14,"Aaron Judge walks.","R","R","R","KC","NYY","B",,,0,1,2023,"1.15","0.48","0.11","0.08",,,,1,4,"Top",,,,,682515,,,2.8433363798524987,-116.30101811060015,-6.89584923239627,9.91562571840749,21.644574833154234,-26.753122285985725,"4.05","1.99",,,,"80.4",2426,"6.6",716389,543475,682515,521692,622110,672580,677951,658668,664728,676369,"53.92",,,,,,,,33,2,"Sweeper",10,0,0,10,0,10,0,10,"Strategic","Standard",68,"0","0.019"
"FF","2023-09-29","92","-1.82","5.93","Judge, Aaron",592450,543475,,"called_strike",,,,,14,"Aaron Judge walks.","R","R","R","KC","NYY","S",,,0,0,2023,"-0.41","1.49","0.66","1.59",,,,1,4,"Top",,,,,682515,,,7.220374090628496,-133.64052945644912,-8.512255297326167,-6.399224798378328,26.536107812172467,-12.599027024687889,"4.03","1.91",,,,"93",2238,"6.8",716389,543475,682515,521692,622110,672580,677951,658668,664728,676369,"53.68",,,,,,,,33,1,"4-Seam Fastball",10,0,0,10,0,10,0,10,"Strategic","Standard",206,"0","-0.026"
